run,architecture,concurrency,rps,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,errors,timeouts,non2xx,cpu_percent,event_loop_p99_ms,duration_ms,completed_requests,test_order,timestamp,node_version,machine_info
1,stateful,195,8843.14,21.56,21.04,31.63,42.55,0,0,0,33.97,19.12,30034,265471,29,2026-08-27T04:33:13.289Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,stateful,210,9265.54,22.17,20.84,35.09,45.05,0,0,0,40.39,16.67,30023,278173,30,2026-08-27T04:34:04.425Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,jwt,205,3235.87,62.80,68.43,112.65,129.74,0,0,0,23.17,10.66,30014,97267,31,2026-08-27T04:34:55.614Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,stateful,200,8851.87,22.10,21.98,30.60,35.19,0,0,0,33.83,16.55,30020,265724,32,2026-08-27T04:35:46.697Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,stateful,175,8117.07,21.08,20.32,32.58,39.34,0,0,0,32.88,21.79,30035,243679,33,2026-08-27T04:36:37.832Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
1,stateful,215,9173.34,22.96,22.74,31.44,36.09,0,0,0,33.24,17.09,30040,275404,34,2026-08-27T04:37:29.002Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,jwt,200,3304.54,59.97,64.54,105.12,119.63,0,0,0,23.48,10.66,30011,99322,35,2026-08-27T04:38:20.154Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,stateful,225,9341.60,23.60,23.25,32.57,37.43,0,0,0,39.43,16.84,30035,280450,36,2026-08-27T04:39:11.234Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,stateful,205,9224.54,21.74,21.41,30.48,34.02,0,0,0,35.69,16.47,30036,276950,37,2026-08-27T04:40:02.391Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
1,jwt,180,3291.14,54.13,57.29,96.08,107.90,0,0,0,25.45,10.81,30017,98898,38,2026-08-27T04:40:53.541Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,stateful,215,9048.87,23.27,22.76,32.60,36.66,0,0,0,34.19,17.04,30027,271679,39,2026-08-27T04:41:44.626Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,stateful,185,8631.07,20.94,20.48,30.70,35.78,0,0,0,34.03,19.60,30026,259090,40,2026-08-27T04:42:35.775Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,jwt,215,3248.54,65.59,71.55,117.72,134.67,0,0,0,23.22,10.67,30013,97659,41,2026-08-27T04:43:26.927Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
1,jwt,185,3321.74,55.15,58.94,99.83,121.79,0,0,0,21.04,10.81,30012,99824,42,2026-08-27T04:44:18.006Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,stateful,180,8273.54,21.27,20.44,33.12,42.91,0,0,0,35.02,21.61,30033,248387,43,2026-08-27T04:45:09.076Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
1,jwt,225,3416.60,65.32,70.68,117.29,145.64,0,0,0,24.46,10.64,30015,102706,44,2026-08-27T04:46:00.239Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,jwt,175,3417.87,50.66,55.22,86.22,98.73,0,0,0,22.75,10.49,30011,102693,45,2026-08-27T04:46:51.312Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,jwt,225,3244.74,68.78,74.24,120.72,141.41,0,0,0,26.12,11.35,30021,97553,46,2026-08-27T04:47:42.392Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,jwt,200,3266.80,60.63,63.90,109.64,134.13,0,0,0,25.98,10.91,30011,98190,47,2026-08-27T04:48:33.480Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,stateful,195,8851.80,21.53,21.15,30.85,37.17,0,0,0,32.78,20.94,30032,265748,48,2026-08-27T04:49:24.550Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,stateful,185,8729.21,20.71,19.87,31.78,38.81,0,0,0,33.77,21.50,30032,262045,49,2026-08-27T04:50:15.692Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,stateful,185,8598.54,21.03,20.46,31.86,39.76,0,0,0,37.88,21.43,30031,258121,50,2026-08-27T04:51:06.868Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,jwt,220,3349.27,65.11,73.68,121.42,139.41,0,0,0,23.06,10.58,30013,100684,51,2026-08-27T04:51:58.026Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,stateful,200,8912.47,21.96,21.32,31.91,41.35,0,0,0,38.01,18.86,30046,267553,52,2026-08-27T04:52:49.102Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,jwt,185,3299.34,55.53,58.79,102.48,125.96,0,0,0,23.84,10.85,30011,99146,53,2026-08-27T04:53:40.260Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,jwt,175,3428.10,50.51,54.66,91.05,102.74,0,0,0,22.81,10.62,30010,103007,54,2026-08-27T04:54:31.331Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,stateful,190,8590.07,21.64,21.50,30.51,36.74,0,0,0,32.92,18.86,30039,257882,55,2026-08-27T04:55:22.404Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,stateful,220,9158.14,23.54,23.13,32.70,43.55,0,0,0,35.95,16.63,30032,274943,56,2026-08-27T04:56:13.574Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,stateful,215,9257.21,22.74,22.13,32.19,41.44,0,0,0,33.98,17.53,30029,277916,57,2026-08-27T04:57:04.736Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,stateful,195,9064.67,21.02,20.47,31.03,41.35,0,0,0,35.29,20.79,30023,272111,58,2026-08-27T04:57:55.894Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
1,stateful,200,8958.87,21.83,21.54,30.77,37.78,0,0,0,34.62,18.10,30018,268942,59,2026-08-27T04:58:47.047Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,jwt,210,3240.80,64.25,70.35,119.59,140.35,0,0,0,24.10,10.83,30016,97424,60,2026-08-27T04:59:38.192Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,jwt,180,3280.14,54.32,58.60,101.92,118.78,0,0,0,22.91,10.67,30012,98566,61,2026-08-27T05:00:29.285Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,stateful,180,8420.80,20.91,19.91,32.57,40.59,0,0,0,37.15,21.76,30066,252777,62,2026-08-27T05:01:20.341Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,stateful,225,9401.34,23.44,22.78,34.01,42.93,0,0,0,41.27,17.25,30022,282252,63,2026-08-27T05:02:11.546Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,jwt,210,3148.27,66.17,72.63,118.71,147.50,0,0,0,23.95,10.85,30016,94636,64,2026-08-27T05:03:02.689Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,stateful,190,8759.40,21.21,20.51,32.68,42.91,0,0,0,35.68,20.99,30042,262958,65,2026-08-27T05:03:53.767Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,jwt,195,3616.67,53.38,56.36,101.33,124.96,0,0,0,23.11,10.55,30013,108676,66,2026-08-27T05:04:44.958Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,jwt,210,3641.27,57.12,59.03,118.04,147.23,0,0,0,22.08,10.53,30011,109428,67,2026-08-27T05:05:36.034Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
